"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","804","userCanNotTransferValidAmountOfMoneyToInvalidAccountTest()","","Thu Aug 20 15:06:38 UTC 2026","failed","Thu Aug 20 15:06:39 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferValidAmountOfMoneyToInvalidAccountTest"
"","697","userCanNotCreateDepositWithInvalidDataTest(InvalidDepositCase) [3] ZERO","","Thu Aug 20 15:06:37 UTC 2026","failed","Thu Aug 20 15:06:37 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositWithInvalidDataTest"
"","2875","userCanNotTransferMoneyWithoutSelectingSenderAccountTest()","","Thu Aug 20 15:06:14 UTC 2026","failed","Thu Aug 20 15:06:17 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanNotTransferMoneyWithoutSelectingSenderAccountTest"
"","625","adminCanCreateUserWithValidDataTest()","","Thu Aug 20 15:05:52 UTC 2026","passed","Thu Aug 20 15:05:53 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanCreateUserWithValidDataTest"
"","2395","userCanNotCreateDepositMoreThanLimitTest()","","Thu Aug 20 15:05:54 UTC 2026","failed","Thu Aug 20 15:05:56 UTC 2026","","iteration_2.ui.CreateDepositTest","iteration_2.ui.CreateDepositTest","userCanNotCreateDepositMoreThanLimitTest"
"","2008","userCanCreateAccountTest()","","Thu Aug 20 15:05:46 UTC 2026","passed","Thu Aug 20 15:05:48 UTC 2026","","iteration_1.ui.CreateAccountTest","iteration_1.ui.CreateAccountTest","userCanCreateAccountTest"
"","271","adminCanNotCreateUserWithInvalidUserNameTest(InvalidUsernameCase) [2] TOO_SHORT","","Thu Aug 20 15:05:51 UTC 2026","passed","Thu Aug 20 15:05:51 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserNameTest"
"","598","userCanNotChangePersonalInfoWithInvalidDataTest(InvalidChangeNameCase) [2] DIGITS","","Thu Aug 20 15:06:43 UTC 2026","passed","Thu Aug 20 15:06:44 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanNotChangePersonalInfoWithInvalidDataTest"
"","599","userCanChangePersonalInfoWithValidDataTest()","","Thu Aug 20 15:06:42 UTC 2026","failed","Thu Aug 20 15:06:42 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanChangePersonalInfoWithValidDataTest"
"","1567","adminCanLoginWithCorrectDataTest()","","Thu Aug 20 15:05:45 UTC 2026","passed","Thu Aug 20 15:05:46 UTC 2026","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","0","TransferWithFraudCheckTest","","Thu Aug 20 15:06:32 UTC 2026","broken","Thu Aug 20 15:06:32 UTC 2026","","iteration_2.api.TransferWithFraudCheckTest","iteration_2.api.TransferWithFraudCheckTest",""
"","4840","adminCanNotCreateUserWithIncorrectDataTest()","","Thu Aug 20 15:05:34 UTC 2026","passed","Thu Aug 20 15:05:39 UTC 2026","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","adminCanNotCreateUserWithIncorrectDataTest"
"","2411","userCanNotChangeNameForInvalidTest()","","Thu Aug 20 15:06:23 UTC 2026","failed","Thu Aug 20 15:06:25 UTC 2026","","iteration_2.ui.ChangeNameTest","iteration_2.ui.ChangeNameTest","userCanNotChangeNameForInvalidTest"
